연도,분기,행정동_코드,행정동_코드_명,총_상주인구_수
2020,2,11710580,송파1동,25549
2020,2,11710590,송파2동,20644
2020,2,11710600,석촌동,33503
2020,2,11710610,삼전동,32314
2020,2,11710620,가락본동,27536
2020,2,11710631,가락1동,27396
2020,2,11710632,가락2동,33685
2020,2,11710641,문정1동,20832
2020,2,11710642,문정2동,30399
2020,2,11710646,장지동,32810
2020,2,11710647,위례동,28329
2020,2,11710650,잠실본동,28956
2020,2,11710670,잠실2동,36652
2020,2,11710680,잠실3동,35888
2020,2,11710690,잠실4동,22193
2020,2,11710710,잠실6동,17264
2020,2,11710720,잠실7동,10189
2020,2,11740515,강일동,31985
2020,2,11740520,상일동,10654
2020,2,11740530,명일1동,21639
2020,2,11740540,명일2동,17726
2020,2,11740550,고덕1동,26937
2020,2,11740560,고덕2동,6923
2020,2,11740570,암사1동,36325
2020,2,11740580,암사2동,14471
2020,2,11740590,암사3동,18657
2020,2,11740600,천호1동,28069
2020,2,11740610,천호2동,34709
2020,2,11740620,천호3동,27361
2020,2,11740640,성내1동,20451
2020,2,11740650,성내2동,24392
2020,2,11740660,성내3동,23646
2020,2,11740685,길동,45987
2020,2,11740690,둔촌1동,268
2020,2,11740700,둔촌2동,27648
2020,3,11110515,청운효자동,12817
2020,3,11110530,사직동,9386
2020,3,11110540,삼청동,2717
2020,3,11110550,부암동,9987
2020,3,11110560,평창동,18604
2020,3,11110570,무악동,8074
2020,3,11110580,교남동,10621
2020,3,11110600,가회동,4391
2020,3,11110615,종로1?2?3?4가동,7262
2020,3,11110630,종로5?6가동,5211
2020,3,11110640,이화동,7912
2020,3,11110650,혜화동,16833
2020,3,11110670,창신1동,5230
2020,3,11110680,창신2동,8561
2020,3,11110690,창신3동,7127
2020,3,11110700,숭인1동,6180
2020,3,11110710,숭인2동,9457
2020,3,11140520,소공동,2054
2020,3,11140540,회현동,5401
2020,3,11140550,명동,2675
2020,3,11140570,필동,4062
2020,3,11140580,장충동,4645
2020,3,11140590,광희동,4884
2020,3,11140605,을지로동,1770
2020,3,11140615,신당동,7514
2020,3,11140625,다산동,14280
2020,3,11140635,약수동,17520
2020,3,11140645,청구동,14315
2020,3,11140650,신당5동,9242
2020,3,11140665,동화동,10843
2020,3,11140670,황학동,12541
2020,3,11140680,중림동,12684
2020,3,11170510,후암동,17971
2020,3,11170520,용산2가동,10366
2020,3,11170530,남영동,7846
2020,3,11170555,청파동,19763
2020,3,11170560,원효로1동,15876
2020,3,11170570,원효로2동,14479
2020,3,11170580,효창동,9013
2020,3,11170590,용문동,12234
2020,3,11170625,한강로동,18270
2020,3,11170630,이촌1동,26203
2020,3,11170640,이촌2동,8918
2020,3,11170650,이태원1동,6879
2020,3,11170660,이태원2동,9285
2020,3,11170685,한남동,20545
2020,3,11170690,서빙고동,14396
2020,3,11170700,보광동,14393
2020,3,11200520,왕십리2동,17366
2020,3,11200535,왕십리도선동,27197
2020,3,11200540,마장동,23348
2020,3,11200550,사근동,11680
2020,3,11200560,행당1동,16063
2020,3,11200570,행당2동,24582
2020,3,11200580,응봉동,16162
2020,3,11200590,금호1가동,15816
2020,3,11200615,금호2?3가동,24052
2020,3,11200620,금호4가동,14812
2020,3,11200645,옥수동,27174
2020,3,11200650,성수1가1동,16849
2020,3,11200660,성수1가2동,14194
2020,3,11200670,성수2가1동,17138
2020,3,11200690,성수2가3동,11349
2020,3,11200720,송정동,10955
2020,3,11200790,용답동,12297
2020,3,11215710,화양동,21879
2020,3,11215730,군자동,19728
2020,3,11215740,중곡1동,16503
2020,3,11215750,중곡2동,22009
2020,3,11215760,중곡3동,17079
2020,3,11215770,중곡4동,29801
2020,3,11215780,능동,11440
2020,3,11215810,광장동,35891
2020,3,11215820,자양1동,22927
2020,3,11215830,자양2동,26501
2020,3,11215840,자양3동,29199
2020,3,11215847,자양4동,18510
2020,3,11215850,구의1동,22191
2020,3,11215860,구의2동,27488
2020,3,11215870,구의3동,29770
2020,3,11230536,용신동,30305
2020,3,11230545,제기동,24854
2020,3,11230560,전농1동,30410
2020,3,11230570,전농2동,19572
2020,3,11230600,답십리1동,29395
2020,3,11230610,답십리2동,29929
2020,3,11230650,장안1동,38254
2020,3,11230660,장안2동,31159
2020,3,11230705,청량리동,21395
2020,3,11230710,회기동,10023
2020,3,11230720,휘경1동,12359
2020,3,11230730,휘경2동,24341
2020,3,11230740,이문1동,18947
2020,3,11230750,이문2동,20641
2020,3,11260520,면목2동,25638
2020,3,11260540,면목4동,19810
2020,3,11260550,면목5동,9571
2020,3,11260565,면목본동,35487
2020,3,11260570,면목7동,21358
2020,3,11260575,면목3?8동,26316
2020,3,11260580,상봉1동,25085
2020,3,11260590,상봉2동,19068
2020,3,11260600,중화1동,20687
2020,3,11260610,중화2동,26937
2020,3,11260620,묵1동,35850
2020,3,11260630,묵2동,19656
2020,3,11260655,망우본동,30726
2020,3,11260660,망우3동,17496
2020,3,11260680,신내1동,40663
2020,3,11260690,신내2동,21885
2020,3,11290525,성북동,16949
2020,3,11290555,삼선동,25380
2020,3,11290575,동선동,15400
2020,3,11290580,돈암1동,16140
2020,3,11290590,돈암2동,24943
2020,3,11290600,안암동,6285
2020,3,11290610,보문동,15008
2020,3,11290620,정릉1동,17650
2020,3,11290630,정릉2동,23575
2020,3,11290640,정릉3동,15642
2020,3,11290650,정릉4동,26266
2020,3,11290660,길음1동,36745
2020,3,11290685,길음2동,16356
2020,3,11290705,종암동,40147
2020,3,11290715,월곡1동,27401
2020,3,11290725,월곡2동,19758
2020,3,11290760,장위1동,20377
2020,3,11290770,장위2동,13716
2020,3,11290780,장위3동,11284
2020,3,11290810,석관동,32696
2020,3,11305534,삼양동,25278
2020,3,11305535,미아동,22316
2020,3,11305545,송중동,30218
2020,3,11305555,송천동,28173
2020,3,11305575,삼각산동,32809
2020,3,11305595,번1동,19255
2020,3,11305603,번2동,17027
2020,3,11305608,번3동,18250
2020,3,11305615,수유1동,21750
2020,3,11305625,수유2동,21833
2020,3,11305635,수유3동,23692
2020,3,11305645,우이동,21215
2020,3,11305660,인수동,32319
2020,3,11320511,창1동,26171
2020,3,11320512,창2동,30281
2020,3,11320513,창3동,14697
2020,3,11320514,창4동,27812
2020,3,11320515,창5동,25409
2020,3,11320521,도봉1동,22070
2020,3,11320522,도봉2동,26045
2020,3,11320660,쌍문1동,22086
2020,3,11320670,쌍문2동,19893
2020,3,11320680,쌍문3동,17046
2020,3,11320681,쌍문4동,19772
2020,3,11320690,방학1동,29724
2020,3,11320700,방학2동,20934
2020,3,11320710,방학3동,28734
2020,3,11350560,월계1동,23265
2020,3,11350570,월계2동,25870
2020,3,11350580,월계3동,31470
2020,3,11350595,공릉1동,38477
2020,3,11350600,공릉2동,40537
2020,3,11350611,하계1동,28814
2020,3,11350612,하계2동,23330
2020,3,11350619,중계본동,25872
2020,3,11350621,중계1동,28076
2020,3,11350624,중계4동,21290
2020,3,11350625,중계2?3동,36720
2020,3,11350630,상계1동,41981
2020,3,11350640,상계2동,21065
2020,3,11350665,상계3?4동,25739
2020,3,11350670,상계5동,25458
2020,3,11350695,상계6?7동,34538
2020,3,11350700,상계8동,24382
2020,3,11350710,상계9동,21896
2020,3,11350720,상계10동,16569
2020,3,11380510,녹번동,37920
2020,3,11380520,불광1동,40763
2020,3,11380530,불광2동,29233
2020,3,11380551,갈현1동,24094
2020,3,11380552,갈현2동,29823
2020,3,11380560,구산동,33593
2020,3,11380570,대조동,27641
2020,3,11380580,응암1동,25343
2020,3,11380590,응암2동,20455
2020,3,11380600,응암3동,25630
2020,3,11380625,역촌동,48158
2020,3,11380631,신사1동,28262
2020,3,11380632,신사2동,21785
2020,3,11380640,증산동,15883
2020,3,11380650,수색동,8907
2020,3,11380690,진관동,58081
2020,3,11410520,천연동,18370
2020,3,11410555,북아현동,16782
2020,3,11410565,충현동,17971
2020,3,11410585,신촌동,18598
2020,3,11410615,연희동,37904
2020,3,11410620,홍제1동,24733
2020,3,11410640,홍제3동,16312
2020,3,11410655,홍제2동,14445
2020,3,11410660,홍은1동,22218
2020,3,11410685,홍은2동,27390
2020,3,11410690,남가좌1동,16590
2020,3,11410700,남가좌2동,24921
2020,3,11410710,북가좌1동,18893
2020,3,11410720,북가좌2동,33505
2020,3,11440555,아현동,24016
2020,3,11440565,공덕동,33743
2020,3,11440585,도화동,18617
2020,3,11440590,용강동,19120
2020,3,11440600,대흥동,8723
2020,3,11440610,염리동,13934
2020,3,11440630,신수동,15759
2020,3,11440655,서강동,19552
2020,3,11440660,서교동,18835
2020,3,11440680,합정동,18713
2020,3,11440690,망원1동,16504
2020,3,11440700,망원2동,14468
2020,3,11440710,연남동,12595
2020,3,11440720,성산1동,15504
2020,3,11440730,성산2동,34494
2020,3,11440740,상암동,27885
2020,3,11470510,목1동,31902
2020,3,11470520,목2동,31151
2020,3,11470530,목3동,22890
2020,3,11470540,목4동,26744
2020,3,11470550,목5동,42852
2020,3,11470560,신월1동,21503
2020,3,11470570,신월2동,21994
2020,3,11470580,신월3동,16501
2020,3,11470590,신월4동,18960
2020,3,11470600,신월5동,15161
2020,3,11470610,신월6동,6589
2020,3,11470611,신월7동,21520
2020,3,11470620,신정1동,21434
2020,3,11470630,신정2동,20527
2020,3,11470640,신정3동,47701
2020,3,11470650,신정4동,34753
2020,3,11470670,신정6동,25265
2020,3,11470680,신정7동,30648
2020,3,11500510,염창동,41942
2020,3,11500520,등촌1동,23367
2020,3,11500530,등촌2동,21752
2020,3,11500535,등촌3동,32405
2020,3,11500540,화곡1동,53448
2020,3,11500550,화곡2동,19245
2020,3,11500560,화곡3동,22464
2020,3,11500570,화곡4동,21655
2020,3,11500590,화곡본동,35178
2020,3,11500591,화곡6동,24665
2020,3,11500593,화곡8동,26248
2020,3,11500603,가양1동,33866
2020,3,11500604,가양2동,15079
2020,3,11500605,가양3동,16093
2020,3,11500611,발산1동,38619
2020,3,11500615,우장산동,44611
2020,3,11500620,공항동,27496
2020,3,11500630,방화1동,45180
2020,3,11500640,방화2동,23794
2020,3,11500641,방화3동,24360
2020,3,11530510,신도림동,36922
2020,3,11530520,구로1동,21153
2020,3,11530530,구로2동,25396
2020,3,11530540,구로3동,24265
2020,3,11530550,구로4동,21308
2020,3,11530560,구로5동,30050
2020,3,11530595,가리봉동,9380
2020,3,11530720,고척1동,23691
2020,3,11530730,고척2동,28370
2020,3,11530740,개봉1동,32896
2020,3,11530750,개봉2동,32637
2020,3,11530760,개봉3동,21435
2020,3,11530770,오류1동,22588
2020,3,11530780,오류2동,39743
2020,3,11530790,수궁동,24575
2020,3,11530800,항동,2748
2020,3,11545510,가산동,20985
2020,3,11545610,독산1동,41180
2020,3,11545620,독산2동,19428
2020,3,11545630,독산3동,25155
2020,3,11545640,독산4동,16029
2020,3,11545670,시흥1동,34375
2020,3,11545680,시흥2동,22225
2020,3,11545690,시흥3동,11339
2020,3,11545700,시흥4동,21338
2020,3,11545710,시흥5동,20526
2020,3,11560515,영등포본동,21940
2020,3,11560535,영등포동,26214
2020,3,11560540,여의동,34250
2020,3,11560550,당산1동,20821
2020,3,11560560,당산2동,35448
2020,3,11560585,도림동,18924
2020,3,11560605,문래동,31722
2020,3,11560610,양평1동,17944
2020,3,11560620,양평2동,21886
2020,3,11560630,신길1동,17419
2020,3,11560650,신길3동,15733
2020,3,11560660,신길4동,8930
2020,3,11560670,신길5동,9143
2020,3,11560680,신길6동,18126
2020,3,11560690,신길7동,16810
2020,3,11560700,대림1동,12879
2020,3,11560710,대림2동,12647
2020,3,11560720,대림3동,22984
2020,3,11590510,노량진1동,32334
2020,3,11590520,노량진2동,13036
2020,3,11590530,상도1동,45129
2020,3,11590540,상도2동,28618
2020,3,11590550,상도3동,25619
2020,3,11590560,상도4동,29467
2020,3,11590605,흑석동,32949
2020,3,11590620,사당1동,23335
2020,3,11590630,사당2동,28212
2020,3,11590640,사당3동,25822
2020,3,11590650,사당4동,14658
2020,3,11590651,사당5동,12800
2020,3,11590660,대방동,39773
2020,3,11590670,신대방1동,23913
2020,3,11590680,신대방2동,21153
2020,3,11620525,보라매동,23821
2020,3,11620545,청림동,16123
2020,3,11620565,성현동,37738
2020,3,11620575,행운동,29241
2020,3,11620585,낙성대동,15845
2020,3,11620595,청룡동,29014
2020,3,11620605,은천동,34362
2020,3,11620615,중앙동,15159
2020,3,11620625,인헌동,26218
2020,3,11620630,남현동,18791
2020,3,11620645,서원동,22717
2020,3,11620655,신원동,18283
2020,3,11620665,서림동,25430
2020,3,11620685,신사동,22805
2020,3,11620695,신림동,21621
2020,3,11620715,난향동,16264
2020,3,11620725,조원동,17381
2020,3,11620735,대학동,24097
2020,3,11620745,삼성동,25120
2020,3,11620765,미성동,31961
2020,3,11620775,난곡동,28076
2020,3,11650510,서초1동,21364
2020,3,11650520,서초2동,18390
2020,3,11650530,서초3동,30335
2020,3,11650531,서초4동,31104
2020,3,11650540,잠원동,33603
2020,3,11650550,반포본동,12084
2020,3,11650560,반포1동,30491
2020,3,11650570,반포2동,16177
2020,3,11650580,반포3동,18406
2020,3,11650581,반포4동,19576
2020,3,11650590,방배본동,21317
2020,3,11650600,방배1동,17339
2020,3,11650610,방배2동,20781
2020,3,11650620,방배3동,22141
2020,3,11650621,방배4동,23764
2020,3,11650651,양재1동,45153
2020,3,11650652,양재2동,22891
2020,3,11650660,내곡동,18146
2020,3,11680510,신사동,17320
2020,3,11680521,논현1동,23122
2020,3,11680531,논현2동,21554
2020,3,11680545,압구정동,27528
2020,3,11680565,청담동,29706
2020,3,11680580,삼성1동,14671
2020,3,11680590,삼성2동,30227
2020,3,11680600,대치1동,25282
2020,3,11680610,대치2동,38520
2020,3,11680630,대치4동,20602
2020,3,11680640,역삼1동,36033
2020,3,11680650,역삼2동,36341
2020,3,11680655,도곡1동,21755
2020,3,11680656,도곡2동,34327
2020,3,11680660,개포1동,6921
2020,3,11680670,개포2동,21595
2020,3,11680690,개포4동,18123
2020,3,11680700,세곡동,44930
2020,3,11680720,일원본동,24381
2020,3,11680730,일원1동,16264
2020,3,11680740,일원2동,18064
2020,3,11680750,수서동,15915
2020,3,11710510,풍납1동,14711
2020,3,11710520,풍납2동,24414
2020,3,11710531,거여1동,13193
2020,3,11710532,거여2동,16804
2020,3,11710540,마천1동,20581
2020,3,11710550,마천2동,20030
2020,3,11710561,방이1동,16384
2020,3,11710562,방이2동,25553
2020,3,11710566,오륜동,18915
2020,3,11710570,오금동,40806
2020,3,11710580,송파1동,25549
2020,3,11710590,송파2동,20644
2020,3,11710600,석촌동,33503
2020,3,11710610,삼전동,32314
2020,3,11710620,가락본동,27536
2020,3,11710631,가락1동,27396
2020,3,11710632,가락2동,33685
2020,3,11710641,문정1동,20832
2020,3,11710642,문정2동,30399
2020,3,11710646,장지동,32810
2020,3,11710647,위례동,28329
2020,3,11710650,잠실본동,28956
2020,3,11710670,잠실2동,36652
2020,3,11710680,잠실3동,35888
2020,3,11710690,잠실4동,22193
2020,3,11710710,잠실6동,17264
2020,3,11710720,잠실7동,10189
2020,3,11740515,강일동,31985
2020,3,11740520,상일동,10654
2020,3,11740530,명일1동,21639
2020,3,11740540,명일2동,17726
2020,3,11740550,고덕1동,26937
2020,3,11740560,고덕2동,6923
2020,3,11740570,암사1동,36325
2020,3,11740580,암사2동,14471
2020,3,11740590,암사3동,18657
2020,3,11740600,천호1동,28069
2020,3,11740610,천호2동,34709
2020,3,11740620,천호3동,27361
2020,3,11740640,성내1동,20451
2020,3,11740650,성내2동,24392
2020,3,11740660,성내3동,23646
2020,3,11740685,길동,45987
2020,3,11740690,둔촌1동,268
2020,3,11740700,둔촌2동,27648
2020,4,11110515,청운효자동,12434
2020,4,11110530,사직동,9524
2020,4,11110540,삼청동,2635
2020,4,11110550,부암동,10015
2020,4,11110560,평창동,18390
2020,4,11110570,무악동,8541
2020,4,11110580,교남동,10466
2020,4,11110600,가회동,4325
2020,4,11110615,종로1?2?3?4가동,7242
2020,4,11110630,종로5?6가동,5219
2020,4,11110640,이화동,7603
2020,4,11110650,혜화동,16799
2020,4,11110670,창신1동,5129
2020,4,11110680,창신2동,8326
2020,4,11110690,창신3동,6921
2020,4,11110700,숭인1동,6080
2020,4,11110710,숭인2동,9700
2020,4,11140520,소공동,2073
2020,4,11140540,회현동,5124
2020,4,11140550,명동,2766
2020,4,11140570,필동,4038
2020,4,11140580,장충동,4665
2020,4,11140590,광희동,5204
2020,4,11140605,을지로동,1959
2020,4,11140615,신당동,7698
2020,4,11140625,다산동,14154
2020,4,11140635,약수동,17127
2020,4,11140645,청구동,14045
2020,4,11140650,신당5동,10518
2020,4,11140665,동화동,10659
2020,4,11140670,황학동,12570
2020,4,11140680,중림동,12288
2020,4,11170510,후암동,17736
2020,4,11170520,용산2가동,9925
2020,4,11170530,남영동,7618
2020,4,11170555,청파동,19837
2020,4,11170560,원효로1동,16085
2020,4,11170570,원효로2동,14197
2020,4,11170580,효창동,10191
2020,4,11170590,용문동,12297
2020,4,11170625,한강로동,19846
2020,4,11170630,이촌1동,28160
2020,4,11170640,이촌2동,8729
2020,4,11170650,이태원1동,6926
2020,4,11170660,이태원2동,9269
2020,4,11170685,한남동,21151
2020,4,11170690,서빙고동,13196
2020,4,11170700,보광동,14218
2020,4,11200520,왕십리2동,17081
2020,4,11200535,왕십리도선동,27086
2020,4,11200540,마장동,22773
2020,4,11200550,사근동,11920
2020,4,11200560,행당1동,14071
